LEMMA,BIRNBAUM FOLIO,NUMBER,CASE,CASE MUST BE ,FORM,STEMTYPE WAS,STEMTYPE MUST BE,,,,,,,,,,,,,,,,,,,,,,
цръкꙑ,104v15,Singular,Locative,Accusative,цръкъве,etymological,analogical,,,,,,смокви,,смокꙑ,,,174v09,,Genitive,,,,,,,,Nominative,
цръкꙑ,110v29,Singular,Locative,Accusative,цръкъве,etymological,analogical,,,,,,смокꙿви,смокꙑ,,,174v09,,Genitive,,,,,,,,Dative,,
цръкꙑ,114r27,Singular,Locative,Accusative,цръкъве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,115r06,Singular,Locative,Accusative,цръкъве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,143r10,Singular,Locative,Accusative,цръкꙿве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,111r19,Singular,Locative,Accusative,црькъве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,26v08,Singular,Locative,Accusative,црь҆кʼве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,110r10,Singular,Locative,Accusative,црь҆кве,etymological,analogical,,,,,,любь҆ве,,любꙑ,,,,174v09,,Genitive,,,,,,,,Accusative
цръкꙑ,111v13,Singular,Locative,Accusative,црь҆къве,etymological,analogical,,,,,,любь҆ве,,любꙑ,,,,174v09,,Genitive,,,,,,,,Accusative
цръкꙑ,114v01,Singular,Locative,Accusative,црь҆къве,etymological,analogical,,,,,,любьве,,любꙑ,,,,174v09,,Genitive,,,,,,,,Accusative
цръкꙑ,114v03,Singular,Locative,Accusative,црь҆къве,etymological,analogical,,,,,,любь҆ве,,любꙑ,,,,174v09,,Genitive,,,,,,,,Accusative
цръкꙑ,144v07,Singular,Locative,Accusative,црь҆къве,etymological,analogical,,,,,,цръкве,,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,165v11,Singular,Locative,Accusative,црь҆къве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,100v13,Singular,Locative,Accusative,црь҆кꙿве,etymological,analogical,,,,,,ц꙯рꙿкве,,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
смокꙑ,174v09,Singular,Genitive,Dative,смокꙿви,analogical,etymological,,,,,,цр꙯къве,,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
