Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
131r,10,2,23,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
134v,8,2,23,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
153v,7,3,26,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
176r,19,3,30,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
176r,21,3,30,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
176r,24,3,30,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,7,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,8,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,9,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,10,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,11,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,12,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,14,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,14,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,17,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,18,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,18,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
178v,19,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,1,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,1,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,1,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,2,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,4,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,8,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
179r,9,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
182v,12,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
182v,12,3,31,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
186v,8,3,32,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,obj,etymological,
204v,2,3,36,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
210v,7,3,36,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,sub,etymological,
243v,22,3,43,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,xobj,etymological,
244r,4,3,43,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,xobj,etymological,
284v,9,3,48,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,xobj,etymological,
010r,10,1,2,дьнь,Singular,Nominative,день҆,-s---mn--i,Nb,xobj,analogical,analogical
215r,6,3,38,дьнь,Singular,Nominative,дьнь҆,-s---mn--i,Nb,sub,analogical,analogical
215v,26,3,38,дьнь,Singular,Nominative,дь҆нь,-s---mn--i,Nb,sub,analogical,analogical
238r,16,3,41,дьнь,Singular,Nominative,дь҆нь҆,-s---mn--i,Nb,sub,analogical,analogical
240r,11,3,42,дьнь,Singular,Nominative,дь҆нь҆,-s---mn--i,Nb,xobj,analogical,analogical
243v,26,3,43,дьнь,Singular,Nominative,дь҆нь҆,-s---mn--i,Nb,apos,analogical,analogical
255r,3,3,45,дьнь,Singular,Nominative,дь҆нꙿ,-s---mn--i,Nb,sub,analogical,analogical
272r,13,3,48,дьнь,Singular,Nominative,днъ,-s---mn--i,Nb,sub,analogical,analogical
009v,6,1,2,имѧ,Singular,Nominative,имꙙ,-s---nn--i,Nb,sub,etymological,
011r,2,1,2,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
020v,8,1,3,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
023r,14,1,3,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
023v,24,1,3,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
024v,10,1,3,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
036r,17,1,5,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
044v,20,1,6,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
051r,13,1,7,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,xobj,etymological,
052r,3,1,7,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
053r,20,1,7,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
062v,3,1,8,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
076v,26,1,11,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
081r,14,1,12,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
083r,2,1,12,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
098r,18,1,16,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
113v,12,1,19,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
114r,7,1,19,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
115r,14,1,19,имѧ,Singular,Nominative,имꙙ,-s---nn--i,Nb,sub,etymological,
123v,6,2,21,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
137r,28,3,24,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
195r,23,3,33,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
233r,23,3,40,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
236r,19,3,41,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
238r,3,3,41,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
238v,10,3,41,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
244r,11,3,43,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
274v,25,3,48,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,sub,etymological,
278r,11,3,48,имѧ,Singular,Nominative,и҅мꙙ,-s---nn--i,Nb,xobj,etymological,
122r,6,2,20,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,sub,etymological,
138v,1,3,24,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,sub,etymological,
150v,4,3,25,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,sub,etymological,
151r,5,3,25,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,sub,etymological,
158v,15,3,27,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,obj,etymological,
222v,14,3,39,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,sub,etymological,
222v,23,3,39,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,obj,etymological,
222v,27,3,39,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,obj,etymological,
222v,30,3,39,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,obj,etymological,
,,3,39,камꙑ,Singular,Nominative,камꙑ,-s---mn--i,Nb,obj,etymological,
226r,6,3,40,камꙑ,Singular,Nominative,камень҆,-s---mn--i,Nb,xadv,analogical,
206r,23,3,36,корень,Singular,Nominative,корень҆,-s---mn--i,Nb,sub,analogical,
206v,2,3,36,корень,Singular,Nominative,корень҆,-s---mn--i,Nb,xobj,analogical,
202v,5,3,35,писмѧ,Singular,Nominative,писмꙙ,-s---nn--i,Nb,sub,etymological,
081r,17,1,12,пламꙑ,Singular,Nominative,пламꙑ,-s---mn--i,Nb,sub,etymological,
283r,29,3,48,пламꙑ,Singular,Nominative,пламꙑ,-s---mn--i,Nb,obj,etymological,
160r,14,3,28,сѣмѧ,Singular,Nominative,сѣмꙙ,-s---nn--i,Nb,sub,etymological,
162r,29,3,28,сѣмѧ,Singular,Nominative,сѣмꙙ,-s---nn--i,Nb,voc,etymological,
042v,15,1,6,чисмѧ,Singular,Nominative,чисмꙙ,-s---nn--i,Nb,sub,etymological,
047v,7,1,6,чисмѧ,Singular,Nominative,чисмꙙ,-s---nn--i,Nb,sub,etymological,
