Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
023r,8,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
023v,3,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
037r,11,1,5,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
040r,4,1,5,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
041v,7,1,5,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
048v,9,1,6,имѧ,Singular,Accusative,имꙙ,-s---na--i,Nb,obl,etymological,
051r,8,1,7,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
051v,5,1,7,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
052r,1,1,7,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
069v,15,1,9,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
074r,16,1,11,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
075r,7,1,11,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
076v,23,1,11,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
076v,30,1,11,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
077v,1,1,11,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
088v,16,1,15,имѧ,Singular,Accusative,имꙙ,-s---na--i,Nb,obj,etymological,
099r,28,1,16,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
102v,11,1,16,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
103v,18,1,16,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
118v,30,1,19,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
128r,30,2,23,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
131v,25,2,23,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
133v,5,2,23,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
160r,28,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
160v,14,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
160v,20,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
160v,22,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
161r,18,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
161v,17,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
161v,21,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
163r,19,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
163v,18,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
164r,12,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
164r,13,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
164r,14,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
164v,20,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
164v,29,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,3,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,7,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,12,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,14,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,22,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,26,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165r,29,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
165v,16,3,28,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
166v,27,3,29,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
171r,25,3,29,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
183v,29,3,31,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
197v,18,3,34,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
197v,19,3,34,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
202r,3,3,35,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
238v,6,3,41,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
244r,8,3,43,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
260v,2,3,46,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
260v,7,3,46,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
262r,26,3,46,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
266r,16,3,46,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
270v,22,3,47,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
275r,30,3,48,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
278v,2,3,48,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
071r,13,1,9,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
053v,27,1,7,камꙑ,Singular,Accusative,камꙑ,-s---ma--i,Nb,obj,analogical,
078v,2,1,11,камꙑ,Singular,Accusative,камꙑ,-s---ma--i,Nb,obj,analogical,
078v,16,1,11,камꙑ,Singular,Accusative,камень,-s---ma--i,Nb,obj,ambiguous,
169v,28,3,29,камꙑ,Singular,Accusative,камꙑ,-s---ma--i,Nb,obj,analogical,
193r,14,3,33,камꙑ,Singular,Accusative,камень҆,-s---ma--i,Nb,obj,ambiguous,
193r,19,3,33,камꙑ,Singular,Accusative,камень҆,-s---ma--i,Nb,obj,ambiguous,
201r,2,3,35,камꙑ,Singular,Accusative,камень҆,-s---ma--i,Nb,obl,ambiguous,
224v,17,3,40,камꙑ,Singular,Accusative,камень҆,-s---ma--i,Nb,obl,ambiguous,
224v,19,3,40,камꙑ,Singular,Accusative,камень҆,-s---ma--i,Nb,obl,ambiguous,
224v,22,3,40,камꙑ,Singular,Accusative,камень,-s---ma--i,Nb,obj,ambiguous,
261v,8,3,46,камꙑ,Singular,Accusative,камꙑ,-s---ma--i,Nb,obl,analogical,
269r,1,3,47,камꙑ,Singular,Accusative,камꙑ,-s---ma--i,Nb,obj,analogical,
