folio,line,book,chapter,form,bform,lemma,stem,stemtype,pos,morph,number,case,rel,after
002r,06,1,1,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
002r,30,1,1,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
003r,06,1,1,имⱕ,имꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
003v,26,1,1,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
004v,30,1,1,врѧмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,sub,
005v,23,1,1,и͑менемь,и҅менемь,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
006r,19,1,1,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
006r,25,1,1,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,part,. 
007v,08,1,1,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
008r,02,1,1,дьниї,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
008r,18,1,2,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,. 
008r,19,1,2,,врѣмꙙ,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
008r,21,1,2,и͑менемь,и҅менемь,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
008v,01,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
008v,13,1,2,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,part,. 
009v,06,1,2,имⱕ,имꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
009v,19,1,2,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,. 
010r,10,1,2,день͗,день҆,дьнь,n stem,etymological,Nb,-s---mn--i,-,m,xobj,
011r,02,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
011r,07,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
011r,12,1,2,и͑мене,и҅мене,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obj,
011r,14,1,2,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---nn--i,-,nom,sub,
012r,13,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
012r,28,1,3,дьнь͗,дьнь҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
012v,01,1,3,врѣменехъ,,врѣмѧ,n stem,analogical,Nb,-p---nl--i,-,nom,obl,
012v,21,1,3,корене,,корень,n stem,etymological,Nb,-s---mg--i,-,m,xobj,
012v,26,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
012v,29,1,3,именемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
013r,01,1,3,врѣмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,sub,
013v,12,1,3,врѣмене,,врѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
013v,13,1,3,день,,дьнь,n stem,,Nb,-s---ma--i,-,m,obj,
013v,22,1,3,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
014v,02,1,3,племене,,племѧ,n stem,etymological,Nb,-s---ng--i,-,nom,xobj,. 
015r,02,1,3,дь͗ни,дь҆ни,дьнь,n stem,analogical,Nb,-s---ml--i,-,m,obl,
016r,09,1,3,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,. 
016v,01,1,3,дьнъ,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
016v,05,1,3,дь͗ни,дь҆ни,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
018r,06,1,3,день,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
020v,07,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
020v,08,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
020v,13,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
021r,05,1,3,брѣмⱕ,брѣмꙙ,брѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
021r,10,1,3,брѣмⱕ,брѣмꙙ,брѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
021r,14,1,3,брѣмⱕ,брѣмꙙ,брѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,. 
021v,19,1,3,сѣмене,,сѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
022r,07,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,apos,.  
022r,14,1,3,врѣмⱕ,врѣмꙙ,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
022v,14,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,. 
023r,08,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
023r,14,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
023r,19,1,3,и͑мене,и҅мене,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
023r,29,1,3,и͑менемь,и҅менемь,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
023v,03,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
023v,06,1,3,и͑менемь,и҅менемь,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
023v,20,1,3,и͑мене,и҅мене,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,. 
023v,24,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
024v,10,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
025r,27,1,3,камени,,камꙑ,n stem,analogical,Nb,-s---mg--i,-,m,obl,
026v,29,1,3,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---na--i,-,nom,obj,. 
027r,24,1,3,дь͗ни,дь҆ни,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
031v,26,1,4,племенемъ,,племѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,. 
031v,26,1,4,именемь͗,именемь҆,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,. 
032r,08,1,4,племенемь͗,племенемь҆,племѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,. 
034v,03,1,4,врѣмⱕ,врѣмꙙ,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,adv,
034v,22,1,5,дьнь͗,дьнь҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
035r,06,1,5,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---nn--i,-,nom,xobj,· 
036r,17,1,5,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
036v,04,1,5,день,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
036v,16,1,5,дь͗немь͗,дь҆немь҆,дьнь,n stem,,Nb,-p---md--i,-,m,sub,
036v,19,1,5,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
037r,11,1,5,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
039v,01,1,5,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
039v,11,1,5,врѢмⱕ,врѢмꙙ,врѣмѧ,n stem,,Nb,-s---na--i,-,nom,obl,
039v,15,1,5,дь͗ни,дь҆ни,дьнь,n stem,,Nb,-s---md--i,-,m,atr,. 
040r,04,1,5,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
041v,07,1,5,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
041v,10,1,5,и͑менемь͗,и҅менемь҆,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
042r,01,1,5,дь͗нехъ,дь҆нехъ,дьнь,n stem,analogical,Nb,-p---ml--i,-,m,obl,
042r,02,1,5,и͑менемь͗,и҅менемь҆,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
042r,22,1,5,дьнь͗,дьнь҆,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,
042v,07,1,6,врѣменехʼ,,врѣмѧ,n stem,analogical,Nb,-p---nl--i,-,nom,atr,. 
042v,15,1,6,чисмⱕ,чисмꙙ,чисмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
044r,26,1,6,брѣмена,,брѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obj,
044v,10,1,6,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---na--i,-,nom,obj,
044v,13,1,6,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---na--i,-,nom,obj,
044v,16,1,6,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---na--i,-,nom,obj,
044v,20,1,6,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,. 
046r,05,1,6,врѣмене,,врѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,atr,
047v,06,1,6,чисмене,,чисмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,. 
047v,07,1,6,чисмⱕ,чисмꙙ,чисмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
047v,08,1,6,дь͗нии,дь҆нии,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
047v,10,1,6,дьнь͗ми,дьнь҆ми,дьнь,n stem,,Nb,-p---mi--i,-,m,adv,
047v,12,1,6,чисмене,,чисмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
048r,24,1,6,чисмⱕ,чисмꙙ,чисмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
048v,09,1,6,имⱕ,имꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
048v,11,1,6,дь͗нии,дь҆нии,дьнь,n stem,,Nb,-s---md--i,-,m,sub,
048v,29,1,6,чисменемъ,,чисмѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,. 
049r,01,1,6,чисмене,,чисмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obj,
049r,15,1,6,и͑мени,и҅мени,имѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,
049v,12,1,6,врѣмени,,врѣмѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,. 
049v,16,1,6,корене,,корень,n stem,etymological,Nb,-s---mg--i,-,m,obl,
049v,26,1,6,врѣмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,atr,
050r,28,1,7,врѣмена,,врѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obl,
051r,03,1,7,дьни,,дьнь,n stem,,Nb,-s---md--i,-,m,sub,. 
051r,08,1,7,и͑мꙙ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,. 
051r,13,1,7,и͑мꙙ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
051v,05,1,7,и͑мꙙ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
052r,01,1,7,и͑мꙙ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,. 
052r,03,1,7,и͑мꙙ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
053r,08,1,7,и͑мене,и҅мене,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
053r,15,1,7,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
053r,17,1,7,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
053r,17,1,7,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
053r,20,1,7,и͑мꙙ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
053r,22,1,7,и͑мени,и҅мени,имѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,. 
053v,24,1,7,дь͗ни,дь҆ни,дьнь,n stem,,Nb,-s---md--i,-,m,sub,
053v,27,1,7,камꙑ,,камꙑ,n stem,analogical,Nb,-s---ma--i,-,m,obj,
054r,02,1,7,дь͗ни,дь҆ни,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,. 
055r,22,1,7,дь͗нь͗,дь҆нь҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
056r,13,1,7,и͑мене,и҅мене,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obj,
058r,29,1,7,и͑мени,и҅мени,имѧ,n stem,ambiguous,Nb,-d---nn--i,-,nom,sub,
059r,22,1,7,дь͗нии͗,дь҆нии҆,дьнь,n stem,,Nb,-p---mg--i,-,m,part,. 
061v,09,1,8,день҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,· 
061v,17,1,8,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
062r,09,1,8,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,· 
062v,03,1,8,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
062v,04,1,8,и҅мене,,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
062v,13,1,8,дьне,,дьнь,n stem,,Nb,-s---mg--i,-,m,obl,
063v,21,1,9,дьни,,дьнь,n stem,,Nb,-d---ma--i,-,m,adv,· 
063v,22,1,9,дни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
063v,29,1,9,дь҆не,,дьнь,n stem,,Nb,-s---mg--i,-,m,obl,· 
063v,30,1,9,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
064r,02,1,9,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
064v,17,1,9,брѣменемъ,,брѣмѧ,n stem,analogical,Nb,-s---ni--i,-,nom,obl,
067v,11,1,9,и҅мене,,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
067v,13,1,9,врѣменехъ,,врѣмѧ,n stem,analogical,Nb,-p---nl--i,-,nom,obl,
068r,26,1,9,и҅менемъ,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
068r,27,1,9,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
068v,14,1,9,день҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
069v,15,1,9,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
072v,26,1,10,пламень,,пламꙑ,n stem,ambiguous,Nb,-s---ma--i,-,m,obj,
073v,23,1,10,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
074r,08,1,11,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
074r,09,1,11,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
074r,10,1,11,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
074r,14,1,11,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
074r,16,1,11,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
074r,19,1,11,дь҆нии,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
074v,07,1,11,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
075r,07,1,11,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
076r,26,1,11,и҅менемъ,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
076v,23,1,11,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
076v,26,1,11,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
076v,30,1,11,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
077r,21,1,11,и҅менемъ,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,· 
077v,01,1,11,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
078v,02,1,11,камꙑ,,камꙑ,n stem,analogical,Nb,-s---ma--i,-,m,obj,
078v,16,1,11,камень,,камꙑ,n stem,ambiguous,Nb,-s---ma--i,-,m,obj,· 
078v,22,1,11,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
078v,24,1,11,камене,,камꙑ,n stem,etymological,Nb,-s---mg--i,-,m,obj,
080r,12,1,12,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
081r,14,1,12,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
081r,17,1,12,пламꙑ,,пламꙑ,n stem,etymological,Nb,-s---mn--i,-,m,sub,· 
082v,20,1,12,и҅мени,,имѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,
083r,02,1,12,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
083r,03,1,12,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
083v,09,1,12,пламꙑ,,пламꙑ,n stem,analogical,Nb,-s---ma--i,-,m,obj,· 
084r,26,1,12,и҅мене,,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
085v,14,1,13,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,· 
085v,16,1,13,дьнии,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
085v,17,1,13,дь҆нии,,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,· 
086r,08,1,14,врѣмени,,врѣмѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,
086v,08,1,14,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
086v,13,1,14,дьнии,,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,
086v,15,1,14,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,. 
086v,26,1,14,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
087r,16,1,14,дьнии,,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,. 
088r,02,1,14,камени,,камꙑ,n stem,analogical,Nb,-s---ml--i,-,m,obl,
088r,06,1,14,камене,,камꙑ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
088v,16,1,15,имꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
089r,17,1,15,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
091v,24,1,15,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
092r,29,1,15,дьни,,дьнь,n stem,,Nb,-p---ma--i,-,m,adv,· 
092r,30,1,15,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,· 
093v,15,1,16,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
096r,01,1,16,врѣмена,,врѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obl,· 
096r,01,1,16,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
096r,04,1,16,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
096v,24,1,16,дь҆нию̑,дь҆нию҄,дьнь,n stem,analogical,Nb,-d---ml--i,-,m,obl,
098r,18,1,16,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
098v,06,1,16,дь҆нь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
098v,11,1,16,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obj,
099r,01,1,16,и҅менемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
099r,17,1,16,и҅менемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
099r,28,1,16,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
099v,01,1,16,дь҆нехъ,,дьнь,n stem,analogical,Nb,-p---ml--i,-,m,obl,
